,59aef156f235c20001a1a3a4
Pond8Fish1_TimeLeft,550.567
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.084
Pond8Fish2_PondTime,15.642
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,640
Pond8Fish2_TimeLeft,543.523
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.848
Pond8Fish3_PondTime,23.093
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,650
Pond8Fish3_TimeLeft,536.072
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.121
Pond8Fish4_PondTime,30.944
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,660
Pond8Fish4_TimeLeft,528.221
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.669
Pond8Fish5_PondTime,39.365
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,670
Pond8Fish5_TimeLeft,519.8
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.937
Pond8Fish6_PondTime,48.439
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,680
Pond8Fish6_TimeLeft,510.726
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,0.756
Pond8Fish7_PondTime,58.357
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,690
Pond8Fish7_TimeLeft,500.808
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.095
Pond8Fish8_PondTime,69.344
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,700
Pond8Fish8_TimeLeft,489.821
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,0.925
Pond8Fish9_PondTime,81.744
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,710
Pond8Fish9_TimeLeft,477.421
PondEnd_LastFish,9
FishN,15
Type,RT
GiveUpTime,0.28
PondTime,95.545
TimeLeft,463.115
PondOutcome,90
TotalOutcome,710
PondStart,PondStart
PondIntroTime,18.47685935208574
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,0.793
Pond1Fish1_PondTime,8.895
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,720
Pond1Fish1_TimeLeft,435.061
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,0.821
Pond1Fish2_PondTime,16.305
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,730
Pond1Fish2_TimeLeft,427.65
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.895
Pond1Fish3_PondTime,24.167
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,740
Pond1Fish3_TimeLeft,419.789
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.435
Pond1Fish4_PondTime,32.578
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,750
Pond1Fish4_TimeLeft,411.378
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.838
Pond1Fish5_PondTime,41.61
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,760
Pond1Fish5_TimeLeft,402.346
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.686
Pond1Fish6_PondTime,51.488
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,770
Pond1Fish6_TimeLeft,392.468
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,1.649
Pond1Fish7_PondTime,62.501
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,780
Pond1Fish7_TimeLeft,381.455
Type,RT
FishN,13
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.852
Pond1Fish8_PondTime,74.911
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,790
Pond1Fish8_TimeLeft,369.044
Type,RT
FishN,13
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,0.963
Pond1Fish9_PondTime,89.307
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,800
Pond1Fish9_TimeLeft,354.648
Type,RT
FishN,13
Fish,10
Pond1Fish10_FishType,golden
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,0.693
Pond1Fish10_PondTime,106.709
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,820
Pond1Fish10_TimeLeft,337.247
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,1.509
PondTime,107.113
TimeLeft,336.34
PondOutcome,110
TotalOutcome,820
PondStart,PondStart
PondIntroTime,11.128374820109457
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.828
Pond5Fish1_PondTime,8.579
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,830
Pond5Fish1_TimeLeft,315.99
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.803
Pond5Fish2_PondTime,15.563
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,840
Pond5Fish2_TimeLeft,309.006
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.221
Pond5Fish3_PondTime,22.94
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,850
Pond5Fish3_TimeLeft,301.629
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,golden
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,0.774
Pond5Fish4_PondTime,30.803
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,870
Pond5Fish4_TimeLeft,293.766
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.758
Pond5Fish5_PondTime,39.187
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,880
Pond5Fish5_TimeLeft,285.382
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,1.501
Pond5Fish6_PondTime,48.284
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,890
Pond5Fish6_TimeLeft,276.285
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,0.85
Pond5Fish7_PondTime,58.17
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,910
Pond5Fish7_TimeLeft,266.399
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,7.5
Pond5Fish8_CatchTime,0.859
Pond5Fish8_PondTime,69.146
Pond5Fish8_PondOutcome,100
Pond5Fish8_TotalOutcome,920
Pond5Fish8_TimeLeft,255.423
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,0.766
Pond5Fish9_PondTime,81.562
Pond5Fish9_PondOutcome,110
Pond5Fish9_TotalOutcome,930
Pond5Fish9_TimeLeft,243.007
Type,RT
