,5c9d28816b36c400013cc430
Pond6Fish10_CatchTime,1.262
Pond6Fish10_PondTime,82.111
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,730
Pond6Fish10_TimeLeft,481.625
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,0.959
PondTime,82.536
TimeLeft,480.696
PondOutcome,100
TotalOutcome,730
PondStart,PondStart
PondIntroTime,15.714811405632645
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,golden
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.04
Pond8Fish1_PondTime,8.959
Pond8Fish1_PondOutcome,20
Pond8Fish1_TotalOutcome,750
Pond8Fish1_TimeLeft,455.4
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.225
Pond8Fish2_PondTime,16.389
Pond8Fish2_PondOutcome,30
Pond8Fish2_TotalOutcome,760
Pond8Fish2_TimeLeft,447.971
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.229
Pond8Fish3_PondTime,24.249
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,770
Pond8Fish3_TimeLeft,440.11
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.307
Pond8Fish4_PondTime,32.679
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,780
Pond8Fish4_TimeLeft,431.681
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.583
Pond8Fish5_PondTime,41.749
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,790
Pond8Fish5_TimeLeft,422.61
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.175
Pond8Fish6_PondTime,51.689
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,800
Pond8Fish6_TimeLeft,412.67
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,golden
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.047
Pond8Fish7_PondTime,62.654
Pond8Fish7_PondOutcome,90
Pond8Fish7_TotalOutcome,820
Pond8Fish7_TimeLeft,401.706
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.068
Pond8Fish8_PondTime,75.091
Pond8Fish8_PondOutcome,100
Pond8Fish8_TotalOutcome,830
Pond8Fish8_TimeLeft,389.269
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.196
Pond8Fish9_PondTime,89.53
Pond8Fish9_PondOutcome,110
Pond8Fish9_TotalOutcome,840
Pond8Fish9_TimeLeft,374.83
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,1.54
Pond8Fish10_PondTime,106.961
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,850
Pond8Fish10_TimeLeft,357.399
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,1.214
Pond8Fish11_PondTime,129.368
Pond8Fish11_PondOutcome,130
Pond8Fish11_TotalOutcome,860
Pond8Fish11_TimeLeft,334.992
