,5cb912a2e254c8001754eabd
Pond3Fish7_TotalOutcome,750
Pond3Fish7_TimeLeft,565.268
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,golden
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,1.065
Pond3Fish8_PondTime,60.676
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,770
Pond3Fish8_TimeLeft,556.221
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.393
Pond3Fish9_PondTime,70.558
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,780
Pond3Fish9_TimeLeft,546.339
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.23
Pond3Fish10_PondTime,81.512
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,790
Pond3Fish10_TimeLeft,535.385
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.387
Pond3Fish11_PondTime,93.909
Pond3Fish11_PondOutcome,120
Pond3Fish11_TotalOutcome,800
Pond3Fish11_TimeLeft,522.987
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,0.602
PondTime,94.131
TimeLeft,522.263
PondOutcome,120
TotalOutcome,800
PondStart,PondStart
PondIntroTime,10.950086649972945
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.402
Pond9Fish1_PondTime,9.287
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,810
Pond9Fish1_TimeLeft,501.357
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.069
Pond9Fish2_PondTime,17.123
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,820
Pond9Fish2_TimeLeft,493.521
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,1.212
Pond9Fish3_PondTime,25.505
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,830
Pond9Fish3_TimeLeft,485.139
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,0.99
Pond9Fish4_PondTime,34.548
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,840
Pond9Fish4_TimeLeft,476.095
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.377
Pond9Fish5_PondTime,44.417
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,850
Pond9Fish5_TimeLeft,466.227
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,1.413
Pond9Fish6_PondTime,55.365
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,860
Pond9Fish6_TimeLeft,455.279
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,1.888
Pond9Fish7_PondTime,67.925
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,870
Pond9Fish7_TimeLeft,442.719
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.195
Pond9Fish8_PondTime,82.282
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,880
Pond9Fish8_TimeLeft,428.361
PondEnd_LastFish,8
FishN,13
Type,RT
GiveUpTime,8.406
PondTime,90.091
TimeLeft,420.038
PondOutcome,80
TotalOutcome,880
PondStart,PondStart
PondIntroTime,12.914544164668769
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.618
Pond7Fish1_PondTime,9.741
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,890
Pond7Fish1_TimeLeft,396.72
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.456
Pond7Fish2_PondTime,18.115
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,900
Pond7Fish2_TimeLeft,388.346
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.527
Pond7Fish3_PondTime,27.144
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,910
Pond7Fish3_TimeLeft,379.317
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.303
Pond7Fish4_PondTime,37.048
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,920
Pond7Fish4_TimeLeft,369.413
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.691
Pond7Fish5_PondTime,48.003
