,5b97683595c5ba00010ac439
Pond7Fish9_PondTime,81.588
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,670
Pond7Fish9_TimeLeft,320.866
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,1.718
Pond7Fish10_PondTime,95.977
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,680
Pond7Fish10_TimeLeft,306.477
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,12
Pond7Fish11_CatchTime,1.559
Pond7Fish11_PondTime,113.415
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,690
Pond7Fish11_TimeLeft,289.039
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,15
Pond7Fish12_CatchTime,1.137
Pond7Fish12_PondTime,135.785
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,700
Pond7Fish12_TimeLeft,266.669
Type,RT
FishN,16
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,20
Pond7Fish13_CatchTime,1.655
Pond7Fish13_PondTime,168.196
Pond7Fish13_PondOutcome,130
Pond7Fish13_TotalOutcome,710
Pond7Fish13_TimeLeft,234.257
Type,RT
FishN,16
Fish,14
Pond7Fish14_FishType,purple
Pond7Fish14_FishLatency,30
Pond7Fish14_CatchTime,1.036
Pond7Fish14_PondTime,230.566
Pond7Fish14_PondOutcome,140
Pond7Fish14_TotalOutcome,720
Pond7Fish14_TimeLeft,171.887
Type,RT
FishN,16
Fish,15
Pond7Fish15_FishType,purple
Pond7Fish15_FishLatency,60
Pond7Fish15_CatchTime,1.673
Pond7Fish15_PondTime,232.932
Pond7Fish15_PondOutcome,150
Pond7Fish15_TotalOutcome,730
Pond7Fish15_TimeLeft,169.522
PondEnd_LastFish,15
FishN,15
Type,RT
GiveUpTime,137.61
PondTime,370.423
TimeLeft,31.524
PondOutcome,150
TotalOutcome,730
PondStart,PondStart
PondIntroTime,10.13647229410708
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.833
Pond2Fish1_PondTime,9.736
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,750
Pond2Fish1_TimeLeft,11.022
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,golden
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.466
Pond2Fish2_PondTime,18.093
Pond2Fish2_PondOutcome,40
Pond2Fish2_TotalOutcome,770
Pond2Fish2_TimeLeft,2.664
