,5d5f0b2e0e71190019c643f7
Pond2Fish9_TotalOutcome,710
Pond2Fish9_TimeLeft,347.466
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,0.796
Pond2Fish10_PondTime,81.4
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,720
Pond2Fish10_TimeLeft,336.523
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,0.822
Pond2Fish11_PondTime,93.762
Pond2Fish11_PondOutcome,120
Pond2Fish11_TotalOutcome,730
Pond2Fish11_TimeLeft,324.161
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,10
Pond2Fish12_CatchTime,1.166
Pond2Fish12_PondTime,108.123
Pond2Fish12_PondOutcome,130
Pond2Fish12_TotalOutcome,740
Pond2Fish12_TimeLeft,309.8
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,13.878
PondTime,121.363
TimeLeft,296.059
PondOutcome,130
TotalOutcome,740
PondStart,PondStart
PondIntroTime,11.176902148872614
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.861
Pond3Fish1_PondTime,8.899
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,750
Pond3Fish1_TimeLeft,274.716
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.986
Pond3Fish2_PondTime,16.262
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,760
Pond3Fish2_TimeLeft,267.353
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.87
Pond3Fish3_PondTime,24.074
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,770
Pond3Fish3_TimeLeft,259.541
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.871
Pond3Fish4_PondTime,32.439
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,780
Pond3Fish4_TimeLeft,251.176
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.849
Pond3Fish5_PondTime,41.469
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,790
Pond3Fish5_TimeLeft,242.146
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.63
Pond3Fish6_PondTime,51.331
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,800
Pond3Fish6_TimeLeft,232.284
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.758
Pond3Fish7_PondTime,62.261
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,810
Pond3Fish7_TimeLeft,221.354
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,0.881
Pond3Fish8_PondTime,74.62
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,820
Pond3Fish8_TimeLeft,208.995
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,12.356
PondTime,86.057
TimeLeft,197.055
PondOutcome,80
TotalOutcome,820
PondStart,PondStart
PondIntroTime,14.090312900952995
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.14
Pond12Fish1_PondTime,7.813
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,830
Pond12Fish1_TimeLeft,174.544
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.451
Pond12Fish2_PondTime,13.927
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,840
Pond12Fish2_TimeLeft,168.43
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.82
Pond12Fish3_PondTime,20.291
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,850
Pond12Fish3_TimeLeft,162.066
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.009
Pond12Fish4_PondTime,26.939
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,860
Pond12Fish4_TimeLeft,155.418
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.029
Pond12Fish5_PondTime,33.918
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,880
Pond12Fish5_TimeLeft,148.439
Type,RT
