,E
Pond12Fish8_CatchTime,0.766
Pond12Fish8_PondTime,64.473
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,770
Pond12Fish8_TimeLeft,394.149
Type,RT
FishN,16
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.93
Pond12Fish9_PondTime,75.418
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,780
Pond12Fish9_TimeLeft,383.204
Type,RT
FishN,16
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,0.994
Pond12Fish10_PondTime,87.793
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,790
Pond12Fish10_TimeLeft,370.829
Type,RT
FishN,16
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,10
Pond12Fish11_CatchTime,1.066
Pond12Fish11_PondTime,102.18
Pond12Fish11_PondOutcome,120
Pond12Fish11_TotalOutcome,800
Pond12Fish11_TimeLeft,356.442
Type,RT
FishN,16
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,1.113
Pond12Fish12_PondTime,119.567
Pond12Fish12_PondOutcome,130
Pond12Fish12_TotalOutcome,810
Pond12Fish12_TimeLeft,339.055
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,9.938
PondTime,128.822
TimeLeft,329.294
PondOutcome,130
TotalOutcome,810
PondStart,PondStart
PondIntroTime,16.107726914342493
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.944
Pond7Fish1_PondTime,9.306
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,820
Pond7Fish1_TimeLeft,303.246
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.837
Pond7Fish2_PondTime,17.14
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,830
Pond7Fish2_TimeLeft,295.412
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.709
Pond7Fish3_PondTime,25.511
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,840
Pond7Fish3_TimeLeft,287.041
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.022
Pond7Fish4_PondTime,34.553
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,850
Pond7Fish4_TimeLeft,277.998
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.713
Pond7Fish5_PondTime,44.439
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,860
Pond7Fish5_TimeLeft,268.113
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,golden
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.691
Pond7Fish6_PondTime,55.385
Pond7Fish6_PondOutcome,70
Pond7Fish6_TotalOutcome,880
Pond7Fish6_TimeLeft,257.166
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,67.81
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,880
Pond7Fish7_TimeLeft,244.742
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,15.816
PondTime,70.093
TimeLeft,241.955
PondOutcome,70
TotalOutcome,880
PondStart,PondStart
PondIntroTime,12.862759225536138
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
