,5c13e9a2b2746e00012c4580
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.873
Pond6Fish8_PondTime,60.786
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,740
Pond6Fish8_TimeLeft,415.564
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,golden
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,0.918
Pond6Fish9_PondTime,70.653
Pond6Fish9_PondOutcome,110
Pond6Fish9_TotalOutcome,760
Pond6Fish9_TimeLeft,405.697
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.053
Pond6Fish10_PondTime,81.586
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,770
Pond6Fish10_TimeLeft,394.764
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.292
Pond6Fish11_PondTime,93.953
Pond6Fish11_PondOutcome,130
Pond6Fish11_TotalOutcome,780
Pond6Fish11_TimeLeft,382.397
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.094
Pond6Fish12_PondTime,108.32
Pond6Fish12_PondOutcome,140
Pond6Fish12_TotalOutcome,790
Pond6Fish12_TimeLeft,368.03
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,12
Pond6Fish13_CatchTime,1.062
Pond6Fish13_PondTime,125.687
Pond6Fish13_PondOutcome,150
Pond6Fish13_TotalOutcome,800
Pond6Fish13_TimeLeft,350.663
Type,RT
FishN,17
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,15
Pond6Fish14_CatchTime,1.231
Pond6Fish14_PondTime,148.054
Pond6Fish14_PondOutcome,160
Pond6Fish14_TotalOutcome,810
Pond6Fish14_TimeLeft,328.296
PondEnd_LastFish,14
FishN,17
Type,RT
GiveUpTime,0.88
PondTime,148.366
TimeLeft,327.481
PondOutcome,160
TotalOutcome,810
PondStart,PondStart
PondIntroTime,17.855648188851774
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.937
Pond10Fish1_PondTime,8.885
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,820
Pond10Fish1_TimeLeft,300.128
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,golden
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.076
Pond10Fish2_PondTime,16.252
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,840
Pond10Fish2_TimeLeft,292.761
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.882
Pond10Fish3_PondTime,24.068
Pond10Fish3_PondOutcome,50
Pond10Fish3_TotalOutcome,860
Pond10Fish3_TimeLeft,284.945
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.222
Pond10Fish4_PondTime,32.434
Pond10Fish4_PondOutcome,60
Pond10Fish4_TotalOutcome,870
Pond10Fish4_TimeLeft,276.579
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.085
Pond10Fish5_PondTime,41.469
Pond10Fish5_PondOutcome,70
Pond10Fish5_TotalOutcome,880
Pond10Fish5_TimeLeft,267.544
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
