,5da42ce2aebbe900133d9d18
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,800
Pond6Fish5_TimeLeft,282.382
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.772
Pond6Fish6_PondTime,41.43
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,810
Pond6Fish6_TimeLeft,274.99
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,golden
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.93
Pond6Fish7_PondTime,49.271
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,830
Pond6Fish7_TimeLeft,267.148
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.14
Pond6Fish8_PondTime,57.652
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,840
Pond6Fish8_TimeLeft,258.768
PondEnd_LastFish,8
FishN,18
Type,RT
GiveUpTime,0.513
PondTime,66.193
TimeLeft,249.72
PondOutcome,90
TotalOutcome,840
PondStart,PondStart
PondIntroTime,18.151454573962837
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.947
Pond12Fish1_PondTime,7.81
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,850
Pond12Fish1_TimeLeft,223.131
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.983
Pond12Fish2_PondTime,13.928
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,870
Pond12Fish2_TimeLeft,217.013
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.79
Pond12Fish3_PondTime,20.314
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,880
Pond12Fish3_TimeLeft,210.626
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,1.133
Pond12Fish4_PondTime,26.976
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,890
Pond12Fish4_TimeLeft,203.965
Type,RT
FishN,16
Fish,5
