,5ba88ccbdd59150001381091
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,610
Pond6Fish6_TimeLeft,531.406
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.905
Pond6Fish7_PondTime,74.699
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,620
Pond6Fish7_TimeLeft,517.023
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,1.179
Pond6Fish8_PondTime,92.065
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,630
Pond6Fish8_TimeLeft,499.657
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,15
Pond6Fish9_CatchTime,1.373
Pond6Fish9_PondTime,114.43
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,640
Pond6Fish9_TimeLeft,477.291
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,20
Pond6Fish10_CatchTime,1.081
Pond6Fish10_PondTime,146.794
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,650
Pond6Fish10_TimeLeft,444.928
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,38.878
PondTime,184.957
TimeLeft,406.262
PondOutcome,100
TotalOutcome,650
PondStart,PondStart
PondIntroTime,12.835243456065655
Type,RT
FishN,12
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.691
Pond9Fish1_PondTime,7.601
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,660
Pond9Fish1_TimeLeft,385.21
Type,RT
FishN,12
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.944
Pond9Fish2_PondTime,13.5
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,670
Pond9Fish2_TimeLeft,379.311
Type,RT
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.194
Pond9Fish3_PondTime,19.617
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,680
Pond9Fish3_TimeLeft,373.193
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.835
Pond9Fish4_PondTime,25.984
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,690
Pond9Fish4_TimeLeft,366.827
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.915
Pond9Fish5_PondTime,32.633
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,700
Pond9Fish5_TimeLeft,360.178
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.171
Pond9Fish6_PondTime,39.616
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,710
Pond9Fish6_TimeLeft,353.195
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.149
Pond9Fish7_PondTime,46.983
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,720
Pond9Fish7_TimeLeft,345.828
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.276
Pond9Fish8_PondTime,54.799
Pond9Fish8_PondOutcome,80
Pond9Fish8_TotalOutcome,730
Pond9Fish8_TimeLeft,338.012
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,0.893
Pond9Fish9_PondTime,63.166
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,740
Pond9Fish9_TimeLeft,329.645
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.983
Pond9Fish10_PondTime,72.198
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,750
Pond9Fish10_TimeLeft,320.613
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.979
Pond9Fish11_PondTime,82.065
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,760
Pond9Fish11_TimeLeft,310.746
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,7.5
