,5b222aff59f9620001c109cb
Pond12_Type,RD
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.116
Pond12Fish9_PondTime,93.931
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,648
Pond12Fish9_TimeLeft,602.349
Pond12_GiveUpTime,1.072
Pond12_PondTime,106.791
Pond12_PondOutcome,88
Pond12_TotalOutcome,648
Pond12_TimeLeft,589.49
Pond9IntroTime,16.986323571763933
Pond9_Type,RD
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.201
Pond9Fish1_PondTime,25.262
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,660
Pond9Fish1_TimeLeft,564.228
Pond9_Type,RD
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.03
Pond9Fish2_PondTime,31.213
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,672
Pond9Fish2_TimeLeft,558.277
Pond9_Type,RD
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.143
Pond9Fish3_PondTime,37.468
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,684
Pond9Fish3_TimeLeft,552.022
Pond9_Type,RD
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.852
Pond9Fish4_PondTime,43.851
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,696
Pond9Fish4_TimeLeft,545.638
Pond9_Type,RD
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.309
Pond9Fish5_PondTime,50.518
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,708
Pond9Fish5_TimeLeft,538.972
Pond9_GiveUpTime,1.115
Pond9_PondTime,51.552
Pond9_PondOutcome,60
Pond9_TotalOutcome,708
Pond9_TimeLeft,537.938
Pond7IntroTime,19.09194667590782
Pond7_Type,RD
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.79
Pond7Fish1_PondTime,27.473
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,720
Pond7Fish1_TimeLeft,510.465
Pond7_Type,RD
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.251
Pond7Fish2_PondTime,33.44
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,732
Pond7Fish2_TimeLeft,504.498
Pond7_Type,RD
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.877
Pond7Fish3_PondTime,39.579
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,744
Pond7Fish3_TimeLeft,498.359
Pond7_Type,RD
Pond7Fish4_FishType,purple
