,5d9674841b7e120018c4cb5d
Pond5_PondOutcome,110
Pond5_TotalOutcome,820
Pond5_TimeLeft,277.606
Pond6IntroTime,15.332893282175064
Pond6_Type,RT
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.13
Pond6Fish1_PondTime,24.889
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,830
Pond6Fish1_TimeLeft,252.717
Pond6_Type,RT
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,1.809
Pond6Fish2_PondTime,32.393
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,840
Pond6Fish2_TimeLeft,245.213
Pond6_Type,RT
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,-1
Pond6Fish3_PondTime,40.282
Pond6Fish3_PondOutcome,20
Pond6Fish3_TotalOutcome,840
Pond6Fish3_TimeLeft,237.324
Pond6_Type,RT
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.972
Pond6Fish4_PondTime,48.674
Pond6Fish4_PondOutcome,30
Pond6Fish4_TotalOutcome,850
Pond6Fish4_TimeLeft,228.932
Pond6_Type,RT
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,1.452
Pond6Fish5_PondTime,57.726
Pond6Fish5_PondOutcome,40
Pond6Fish5_TotalOutcome,860
Pond6Fish5_TimeLeft,219.879
Pond6_Type,RT
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.439
Pond6Fish6_PondTime,67.628
Pond6Fish6_PondOutcome,50
Pond6Fish6_TotalOutcome,870
Pond6Fish6_TimeLeft,209.978
Pond6_Type,RT
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.087
Pond6Fish7_PondTime,78.591
Pond6Fish7_PondOutcome,60
Pond6Fish7_TotalOutcome,880
Pond6Fish7_TimeLeft,199.014
Pond6_Type,RT
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.145
Pond6Fish8_PondTime,90.987
Pond6Fish8_PondOutcome,70
Pond6Fish8_TotalOutcome,890
Pond6Fish8_TimeLeft,186.619
Pond6_Type,RT
Pond6Fish9_FishType,golden
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.265
Pond6Fish9_PondTime,105.377
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,910
Pond6Fish9_TimeLeft,172.229
Pond6_Type,RT
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.062
Pond6Fish10_PondTime,122.779
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,920
Pond6Fish10_TimeLeft,154.827
Pond6_GiveUpTime,1.479
Pond6_PondTime,123.904
Pond6_PondOutcome,100
Pond6_TotalOutcome,920
Pond6_TimeLeft,153.702
