,57da96a2bcd7150001ded382
Pond10Fish11_TotalOutcome,816
Pond10Fish11_TimeLeft,270.604
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,1.502
Pond10Fish12_PondTime,101.144
Pond10Fish12_PondOutcome,134
Pond10Fish12_TotalOutcome,828
Pond10Fish12_TimeLeft,258.226
Type,RD
FishN,12
Fish,13
Pond10Fish13_FishType,blue
Pond10Fish13_FishLatency,10
Pond10Fish13_CatchTime,1.411
Pond10Fish13_PondTime,115.55
Pond10Fish13_PondOutcome,146
Pond10Fish13_TotalOutcome,840
Pond10Fish13_TimeLeft,243.82
Type,RD
FishN,12
Fish,14
Pond10Fish14_FishType,blue
Pond10Fish14_FishLatency,12
Pond10Fish14_CatchTime,1.328
Pond10Fish14_PondTime,132.925
Pond10Fish14_PondOutcome,158
Pond10Fish14_TotalOutcome,852
Pond10Fish14_TimeLeft,226.445
Type,RD
FishN,12
Fish,15
Pond10Fish15_FishType,blue
Pond10Fish15_FishLatency,15
Pond10Fish15_CatchTime,1.272
Pond10Fish15_PondTime,155.421
Pond10Fish15_PondOutcome,170
Pond10Fish15_TotalOutcome,864
Pond10Fish15_TimeLeft,203.949
Type,RD
FishN,12
Fish,16
Pond10Fish16_FishType,blue
Pond10Fish16_FishLatency,20
Pond10Fish16_CatchTime,1.269
Pond10Fish16_PondTime,187.81
Pond10Fish16_PondOutcome,182
Pond10Fish16_TotalOutcome,876
Pond10Fish16_TimeLeft,171.56
Type,RD
FishN,12
Fish,17
Pond10Fish17_FishType,blue
Pond10Fish17_FishLatency,30
Pond10Fish17_CatchTime,1.386
Pond10Fish17_PondTime,250.191
Pond10Fish17_PondOutcome,194
Pond10Fish17_TotalOutcome,888
Pond10Fish17_TimeLeft,109.179
Type,RD
FishN,12
Fish,18
Pond10Fish18_FishType,blue
Pond10Fish18_FishLatency,60
Pond10Fish18_CatchTime,1.502
Pond10Fish18_PondTime,252.588
Pond10Fish18_PondOutcome,206
Pond10Fish18_TotalOutcome,900
Pond10Fish18_TimeLeft,106.782
PondEnd_LastFish,18
FishN,18
Type,RD
GiveUpTime,22.604
PondTime,274.898
TimeLeft,83.965
PondOutcome,206
TotalOutcome,900
PondStart,PondStart
PondIntroTime,17.69692823290825
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.096
Pond2Fish1_PondTime,9.063
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,912
Pond2Fish1_TimeLeft,55.934
Type,RD
FishN,17
Fish,2
