,5bec8599fdf8c50001d0d329
Pond5Fish5_TotalOutcome,812
Pond5Fish5_TimeLeft,167.712
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.009
Pond5Fish6_PondTime,55.335
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,824
Pond5Fish6_TimeLeft,156.776
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.346
Pond5Fish7_PondTime,67.713
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,836
Pond5Fish7_TimeLeft,144.398
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.089
Pond5Fish8_PondTime,82.077
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,848
Pond5Fish8_TimeLeft,130.034
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,0.997
Pond5Fish9_PondTime,99.438
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,860
Pond5Fish9_TimeLeft,112.672
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.142
Pond5Fish10_PondTime,121.812
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,872
Pond5Fish10_TimeLeft,90.299
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,20
Pond5Fish11_CatchTime,1.332
Pond5Fish11_PondTime,154.176
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,884
Pond5Fish11_TimeLeft,57.935
PondEnd_LastFish,11
FishN,13
Type,RD
GiveUpTime,37.232
PondTime,190.935
TimeLeft,20.671
PondOutcome,132
TotalOutcome,884
PondStart,PondStart
PondIntroTime,11.297535407356918
