,5c74edf1280f66001ad7ca29
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.847
Pond6Fish5_PondTime,41.467
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,584
Pond6Fish5_TimeLeft,626.52
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,1.451
Pond6Fish6_PondTime,51.335
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,596
Pond6Fish6_TimeLeft,616.652
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.245
Pond6Fish7_PondTime,62.272
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,608
Pond6Fish7_TimeLeft,605.715
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.31
Pond6Fish8_PondTime,74.634
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,620
Pond6Fish8_TimeLeft,593.352
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,1.233
Pond6Fish9_PondTime,89.001
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,632
Pond6Fish9_TimeLeft,578.986
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,1.41
Pond6Fish10_PondTime,106.367
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,644
Pond6Fish10_TimeLeft,561.62
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,3.686
PondTime,109.667
TimeLeft,557.815
PondOutcome,120
TotalOutcome,644
PondStart,PondStart
PondIntroTime,12.039264088962227
Type,RD
FishN,15
Fish,1
Pond3Fish1_FishType,gray
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,1.598
Pond3Fish1_PondTime,7.602
Pond3Fish1_PondOutcome,2
Pond3Fish1_TotalOutcome,646
Pond3Fish1_TimeLeft,537.55
Type,RD
FishN,15
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.469
Pond3Fish2_PondTime,13.499
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,658
Pond3Fish2_TimeLeft,531.653
Type,RD
FishN,15
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,1.16
Pond3Fish3_PondTime,19.614
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,670
Pond3Fish3_TimeLeft,525.538
Type,RD
FishN,15
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.112
Pond3Fish4_PondTime,25.982
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,682
Pond3Fish4_TimeLeft,519.17
Type,RD
FishN,15
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.982
Pond3Fish5_PondTime,32.633
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,694
Pond3Fish5_TimeLeft,512.519
Type,RD
FishN,15
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.189
Pond3Fish6_PondTime,39.618
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,706
Pond3Fish6_TimeLeft,505.534
Type,RD
FishN,15
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.183
Pond3Fish7_PondTime,46.983
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,718
Pond3Fish7_TimeLeft,498.169
Type,RD
FishN,15
Fish,8
Pond3Fish8_FishType,gray
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.262
Pond3Fish8_PondTime,54.8
Pond3Fish8_PondOutcome,76
Pond3Fish8_TotalOutcome,720
