,5c4e3248ad466000019166df
Pond7Fish5_CatchTime,0.777
Pond7Fish5_PondTime,37.096
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,788
Pond7Fish5_TimeLeft,320.44
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.094
Pond7Fish6_PondTime,45.461
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,800
Pond7Fish6_TimeLeft,312.075
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.984
Pond7Fish7_PondTime,54.498
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,812
Pond7Fish7_TimeLeft,303.038
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.95
Pond7Fish8_PondTime,64.355
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,824
Pond7Fish8_TimeLeft,293.181
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.899
Pond7Fish9_PondTime,75.288
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,836
Pond7Fish9_TimeLeft,282.248
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,gray
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.203
Pond7Fish10_PondTime,87.649
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,838
Pond7Fish10_TimeLeft,269.887
Type,RD
FishN,18
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,1.075
Pond7Fish11_PondTime,102.023
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,850
Pond7Fish11_TimeLeft,255.513
Type,RD
FishN,18
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,1.044
Pond7Fish12_PondTime,119.398
Pond7Fish12_PondOutcome,134
Pond7Fish12_TotalOutcome,862
Pond7Fish12_TimeLeft,238.138
Type,RD
FishN,18
Fish,13
Pond7Fish13_FishType,blue
Pond7Fish13_FishLatency,15
Pond7Fish13_CatchTime,1.124
Pond7Fish13_PondTime,141.766
Pond7Fish13_PondOutcome,146
Pond7Fish13_TotalOutcome,874
Pond7Fish13_TimeLeft,215.77
PondEnd_LastFish,13
FishN,16
Type,RD
GiveUpTime,1.462
PondTime,142.572
TimeLeft,214.462
PondOutcome,146
TotalOutcome,874
PondStart,PondStart
PondIntroTime,17.963539857883006
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.812
Pond5Fish1_PondTime,9.736
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,886
Pond5Fish1_TimeLeft,186.115
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.137
Pond5Fish2_PondTime,18.098
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,898
Pond5Fish2_TimeLeft,177.752
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.846
Pond5Fish3_PondTime,27.135
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,910
Pond5Fish3_TimeLeft,168.716
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.75
Pond5Fish4_PondTime,36.997
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,922
Pond5Fish4_TimeLeft,158.854
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.32
Pond5Fish5_PondTime,47.932
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,934
Pond5Fish5_TimeLeft,147.919
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
