,580241d0279ffd000124e3e3
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,668
Pond8Fish10_TimeLeft,379.568
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,0.558
PondTime,153.769
TimeLeft,347.079
PondOutcome,120
TotalOutcome,668
PondStart,PondStart
PondIntroTime,19.342643008567393
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.162
Pond10Fish1_PondTime,9.269
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,680
Pond10Fish1_TimeLeft,317.857
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.881
Pond10Fish2_PondTime,17.093
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,692
Pond10Fish2_TimeLeft,310.033
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.891
Pond10Fish3_PondTime,25.463
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,704
Pond10Fish3_TimeLeft,301.663
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.607
Pond10Fish4_PondTime,34.491
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,716
Pond10Fish4_TimeLeft,292.635
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.617
Pond10Fish5_PondTime,44.355
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,728
Pond10Fish5_TimeLeft,282.771
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.049
Pond10Fish6_PondTime,55.289
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,740
Pond10Fish6_TimeLeft,271.837
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.831
Pond10Fish7_PondTime,67.66
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,752
Pond10Fish7_TimeLeft,259.466
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,0.939
Pond10Fish8_PondTime,82.026
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,764
Pond10Fish8_TimeLeft,245.1
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,0.725
PondTime,99.196
TimeLeft,227.428
PondOutcome,96
TotalOutcome,764
PondStart,PondStart
PondIntroTime,16.826412710361183
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,0.88
Pond2Fish1_PondTime,9.732
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,776
Pond2Fish1_TimeLeft,200.204
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.241
Pond2Fish2_PondTime,18.1
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,788
Pond2Fish2_TimeLeft,191.836
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,0.992
Pond2Fish3_PondTime,27.146
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,800
Pond2Fish3_TimeLeft,182.79
Type,RD
FishN,17
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,0.908
Pond2Fish4_PondTime,37.02
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,812
Pond2Fish4_TimeLeft,172.916
Type,RD
FishN,17
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.92
Pond2Fish5_PondTime,47.953
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,824
Pond2Fish5_TimeLeft,161.983
Type,RD
