,5bf003ccaf38d100016bb945
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.595
Pond2Fish5_PondTime,35.588
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,848
Pond2Fish5_TimeLeft,334.355
Type,RD
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.677
Pond2Fish6_PondTime,43.448
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,860
Pond2Fish6_TimeLeft,326.495
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.563
Pond2Fish7_PondTime,51.838
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,872
Pond2Fish7_TimeLeft,318.105
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.637
Pond2Fish8_PondTime,60.9
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,884
Pond2Fish8_TimeLeft,309.042
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,gray
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.855
Pond2Fish9_PondTime,70.791
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,886
Pond2Fish9_TimeLeft,299.152
Type,RD
FishN,17
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,0.686
Pond2Fish10_PondTime,81.775
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,898
Pond2Fish10_TimeLeft,288.168
Type,RD
FishN,17
Fish,11
Pond2Fish11_FishType,gray
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,0.64
Pond2Fish11_PondTime,94.167
Pond2Fish11_PondOutcome,112
Pond2Fish11_TotalOutcome,900
Pond2Fish11_TimeLeft,275.776
Type,RD
FishN,17
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,10
Pond2Fish12_CatchTime,0.703
Pond2Fish12_PondTime,108.557
Pond2Fish12_PondOutcome,124
Pond2Fish12_TotalOutcome,912
Pond2Fish12_TimeLeft,261.386
Type,RD
FishN,17
Fish,13
Pond2Fish13_FishType,blue
Pond2Fish13_FishLatency,12
Pond2Fish13_CatchTime,0.628
Pond2Fish13_PondTime,125.948
Pond2Fish13_PondOutcome,136
Pond2Fish13_TotalOutcome,924
Pond2Fish13_TimeLeft,243.995
PondEnd_LastFish,13
FishN,17
Type,RD
GiveUpTime,1.332
PondTime,126.099
TimeLeft,243.33
PondOutcome,136
TotalOutcome,924
PondStart,PondStart
PondIntroTime,13.335760780610144
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,1.059
Pond12Fish1_PondTime,7.642
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,936
