,5c7a926b2ceba0001668b707
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,37.469
Pond10Fish4_PondOutcome,26
Pond10Fish4_TotalOutcome,692
Pond10Fish4_TimeLeft,65.907
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.963
Pond10Fish5_PondTime,47.347
Pond10Fish5_PondOutcome,38
Pond10Fish5_TotalOutcome,704
Pond10Fish5_TimeLeft,56.029
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.759
Pond10Fish6_PondTime,58.287
Pond10Fish6_PondOutcome,50
Pond10Fish6_TotalOutcome,716
Pond10Fish6_TimeLeft,45.089
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.697
Pond10Fish7_PondTime,71.565
Pond10Fish7_PondOutcome,62
Pond10Fish7_TotalOutcome,728
Pond10Fish7_TimeLeft,31.811
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,0.907
Pond10Fish8_PondTime,86.839
Pond10Fish8_PondOutcome,74
Pond10Fish8_TotalOutcome,740
Pond10Fish8_TimeLeft,16.537
