,5c6dcf4e066f6b0001556e87
Pond9Fish1_TimeLeft,470.178
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.025
Pond9Fish2_GiveUpTime,-1
Pond9Fish2_PondTime,7.625
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,627
Pond9Fish2_TimeLeft,462.553
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.872
Pond9Fish3_GiveUpTime,-1
Pond9Fish3_PondTime,7.843
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,638
Pond9Fish3_TimeLeft,454.71
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.037
Pond9Fish4_GiveUpTime,-1
Pond9Fish4_PondTime,8.09
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,649
Pond9Fish4_TimeLeft,446.62
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.079
Pond9Fish5_GiveUpTime,-1
Pond9Fish5_PondTime,8.376
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,660
Pond9Fish5_TimeLeft,438.244
Pond9_Type,N
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.921
Pond9Fish6_GiveUpTime,-1
Pond9Fish6_PondTime,8.708
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,671
Pond9Fish6_TimeLeft,429.535
Pond9_Type,N
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.748
Pond9Fish7_GiveUpTime,-1
Pond9Fish7_PondTime,9.095
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,682
Pond9Fish7_TimeLeft,420.44
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.98
Pond9Fish8_GiveUpTime,-1
Pond9Fish8_PondTime,9.543
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,693
Pond9Fish8_TimeLeft,410.897
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.583
Pond9Fish9_GiveUpTime,-1
Pond9Fish9_PondTime,10.093
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,704
Pond9Fish9_TimeLeft,400.804
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,0.91
Pond9Fish10_GiveUpTime,-1
Pond9Fish10_PondTime,10.761
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,715
Pond9Fish10_TimeLeft,390.043
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.929
Pond9Fish11_GiveUpTime,-1
Pond9Fish11_PondTime,11.597
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,726
Pond9Fish11_TimeLeft,378.446
Pond9_Type,N
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.867
Pond9Fish12_GiveUpTime,-1
Pond9Fish12_PondTime,12.659
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,737
Pond9Fish12_TimeLeft,365.787
Pond9_Type,N
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,0.816
Pond9Fish13_GiveUpTime,-1
Pond9Fish13_PondTime,14.098
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,748
Pond9Fish13_TimeLeft,351.688
Pond9_Type,N
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.908
Pond9Fish14_GiveUpTime,-1
Pond9Fish14_PondTime,16.101
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,759
Pond9Fish14_TimeLeft,335.587
Pond9_Type,N
Pond9Fish15_FishType,green
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,-1
Pond9Fish15_GiveUpTime,0.839
Pond9Fish15_PondTime,17.182
Pond9Fish15_PondOutcome,154
Pond9Fish15_TotalOutcome,759
Pond9Fish15_TimeLeft,318.405
Pond7IntroTime,18.69489294011146
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.032
Pond8Fish1_GiveUpTime,-1
Pond8Fish1_PondTime,30.366
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,770
Pond8Fish1_TimeLeft,288.038
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,1.008
Pond8Fish2_GiveUpTime,-1
Pond8Fish2_PondTime,8.376
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,781
Pond8Fish2_TimeLeft,279.662
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.634
Pond8Fish3_GiveUpTime,-1
Pond8Fish3_PondTime,8.709
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,792
Pond8Fish3_TimeLeft,270.953
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,0.91
Pond8Fish4_GiveUpTime,-1
Pond8Fish4_PondTime,9.092
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,803
Pond8Fish4_TimeLeft,261.861
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.877
Pond8Fish5_GiveUpTime,-1
Pond8Fish5_PondTime,9.544
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,814
Pond8Fish5_TimeLeft,252.316
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,0.689
Pond8Fish6_GiveUpTime,-1
Pond8Fish6_PondTime,10.092
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,825
Pond8Fish6_TimeLeft,242.223
Pond8_Type,N
Pond8Fish7_FishType,green
