,5c0798f829ddf200018ac104
Pond7Fish4_TotalOutcome,704
Pond7Fish4_TimeLeft,307.626
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.769
Pond7Fish5_PondTime,39.919
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,715
Pond7Fish5_TimeLeft,299.8
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.963
Pond7Fish6_PondTime,48.29
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,726
Pond7Fish6_TimeLeft,291.429
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,1.039
Pond7Fish7_PondTime,57.317
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,737
Pond7Fish7_TimeLeft,282.402
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.395
Pond7Fish8_PondTime,67.192
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,748
Pond7Fish8_TimeLeft,272.527
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.296
Pond7Fish9_PondTime,78.132
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,759
Pond7Fish9_TimeLeft,261.587
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.137
Pond7Fish10_PondTime,90.493
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,770
Pond7Fish10_TimeLeft,249.226
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,0.901
Pond7Fish11_PondTime,104.855
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,781
Pond7Fish11_TimeLeft,234.864
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,0.887
Pond7Fish12_PondTime,122.22
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,792
Pond7Fish12_TimeLeft,217.499
PondEnd_LastFish,12
FishN,16
Type,N
GiveUpTime,1.587
PondTime,122.904
TimeLeft,216.31
PondOutcome,132
TotalOutcome,792
PondStart,PondStart
PondIntroTime,13.373643709346652
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.281
Pond10Fish1_PondTime,9.914
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,803
Pond10Fish1_TimeLeft,190.51
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.15
Pond10Fish2_PondTime,16.887
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,814
Pond10Fish2_TimeLeft,183.537
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.193
Pond10Fish3_PondTime,24.258
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,825
Pond10Fish3_TimeLeft,176.166
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.261
Pond10Fish4_PondTime,32.082
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,836
Pond10Fish4_TimeLeft,168.342
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.043
Pond10Fish5_PondTime,40.457
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,847
Pond10Fish5_TimeLeft,159.967
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.966
Pond10Fish6_PondTime,49.48
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,858
Pond10Fish6_TimeLeft,150.944
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.98
Pond10Fish7_PondTime,59.336
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,869
Pond10Fish7_TimeLeft,141.088
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.899
Pond10Fish8_PondTime,70.464
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,880
