,5d78ffbc9a5f5200169fb6ac
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.036
Pond3Fish4_PondTime,26.109
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,748
Pond3Fish4_TimeLeft,448.837
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.907
Pond3Fish5_PondTime,32.78
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,759
Pond3Fish5_TimeLeft,442.166
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.819
Pond3Fish6_PondTime,39.799
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,770
Pond3Fish6_TimeLeft,435.147
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.873
Pond3Fish7_PondTime,47.204
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,781
Pond3Fish7_TimeLeft,427.742
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.823
Pond3Fish8_PondTime,55.04
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,792
Pond3Fish8_TimeLeft,419.906
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.722
Pond3Fish9_PondTime,63.41
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,803
Pond3Fish9_TimeLeft,411.536
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.17
Pond3Fish10_PondTime,72.496
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,814
Pond3Fish10_TimeLeft,402.45
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.163
Pond3Fish11_PondTime,82.399
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,825
Pond3Fish11_TimeLeft,392.547
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.8
Pond3Fish12_PondTime,93.367
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,836
Pond3Fish12_TimeLeft,381.579
Type,N
FishN,18
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,0.991
Pond3Fish13_PondTime,105.768
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,847
Pond3Fish13_TimeLeft,369.178
Type,N
FishN,18
Fish,14
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,0.927
Pond3Fish14_PondTime,120.149
Pond3Fish14_PondOutcome,154
Pond3Fish14_TotalOutcome,858
Pond3Fish14_TimeLeft,354.797
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.479
PondTime,137.091
TimeLeft,337.349
PondOutcome,154
TotalOutcome,858
PondStart,PondStart
PondIntroTime,12.535985568538308
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.666
Pond9Fish1_PondTime,7.653
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,869
Pond9Fish1_TimeLeft,316.532
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.995
Pond9Fish2_PondTime,13.57
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,880
Pond9Fish2_TimeLeft,310.615
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.602
Pond9Fish3_PondTime,19.724
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,891
Pond9Fish3_TimeLeft,304.461
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.953
Pond9Fish4_PondTime,26.126
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,902
Pond9Fish4_TimeLeft,298.059
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.745
Pond9Fish5_PondTime,32.791
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,913
Pond9Fish5_TimeLeft,291.394
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,0.824
Pond9Fish6_PondTime,39.81
Pond9Fish6_PondOutcome,66
