,5e209868a122c8000b7338ba
Pond9Fish8_CatchTime,0.982
Pond9Fish8_PondTime,68.983
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,693
Pond9Fish8_TimeLeft,479.44
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,1.906
PondTime,70.069
TimeLeft,477.851
PondOutcome,88
TotalOutcome,693
PondStart,PondStart
PondIntroTime,10.528264495078474
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.685
Pond2Fish1_PondTime,7.611
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,704
Pond2Fish1_TimeLeft,459.088
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,2.051
Pond2Fish2_PondTime,13.576
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,715
Pond2Fish2_TimeLeft,453.123
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.28
Pond2Fish3_PondTime,19.683
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,726
Pond2Fish3_TimeLeft,447.016
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,0.929
Pond2Fish4_PondTime,26.055
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,737
Pond2Fish4_TimeLeft,440.644
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.651
Pond2Fish5_PondTime,32.714
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,748
Pond2Fish5_TimeLeft,433.985
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,0.661
Pond2Fish6_PondTime,39.702
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,759
Pond2Fish6_TimeLeft,426.997
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,0.505
Pond2Fish7_PondTime,47.069
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,770
Pond2Fish7_TimeLeft,419.63
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,0.563
Pond2Fish8_PondTime,54.897
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,781
Pond2Fish8_TimeLeft,411.802
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,0.624
Pond2Fish9_PondTime,63.268
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,792
Pond2Fish9_TimeLeft,403.431
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,0.548
Pond2Fish10_PondTime,72.304
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,803
Pond2Fish10_TimeLeft,394.395
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.962
Pond2Fish11_PondTime,82.179
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,814
Pond2Fish11_TimeLeft,384.519
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,0.916
Pond2Fish12_PondTime,93.132
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,825
Pond2Fish12_TimeLeft,373.567
Type,N
FishN,13
Fish,13
Pond2Fish13_FishType,green
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,0.653
Pond2Fish13_PondTime,105.497
Pond2Fish13_PondOutcome,143
Pond2Fish13_TotalOutcome,836
Pond2Fish13_TimeLeft,361.201
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,0.268
PondTime,119.25
TimeLeft,346.947
PondOutcome,143
TotalOutcome,836
PondStart,PondStart
PondIntroTime,14.782204471994191
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.648
Pond6Fish1_PondTime,9.284
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,847
Pond6Fish1_TimeLeft,322.258
Type,N
FishN,18
Fish,2
