,5cd323f554644f00188d3f86
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.096
Pond5Fish3_PondTime,24.161
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,572
Pond5Fish3_TimeLeft,612.563
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.353
Pond5Fish4_PondTime,32.523
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,583
Pond5Fish4_TimeLeft,604.201
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.012
Pond5Fish5_PondTime,41.546
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,594
Pond5Fish5_TimeLeft,595.178
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.469
Pond5Fish6_PondTime,51.402
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,605
Pond5Fish6_TimeLeft,585.322
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.241
Pond5Fish7_PondTime,62.342
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,616
Pond5Fish7_TimeLeft,574.382
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.766
Pond5Fish8_PondTime,74.718
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,627
Pond5Fish8_TimeLeft,562.006
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,-1
Pond5Fish9_PondTime,89.145
Pond5Fish9_PondOutcome,77
Pond5Fish9_TotalOutcome,627
Pond5Fish9_TimeLeft,547.579
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.151
Pond5Fish10_PondTime,106.518
Pond5Fish10_PondOutcome,88
Pond5Fish10_TotalOutcome,638
Pond5Fish10_TimeLeft,530.206
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.226
Pond5Fish11_PondTime,128.88
Pond5Fish11_PondOutcome,99
Pond5Fish11_TotalOutcome,649
Pond5Fish11_TimeLeft,507.844
PondEnd_LastFish,11
FishN,14
Type,N
GiveUpTime,16.867
PondTime,145.175
TimeLeft,491.041
PondOutcome,99
TotalOutcome,649
PondStart,PondStart
PondIntroTime,13.081750925630331
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.981
Pond3Fish1_PondTime,9.728
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,660
Pond3Fish1_TimeLeft,467.613
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.158
Pond3Fish2_PondTime,18.082
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,671
Pond3Fish2_TimeLeft,459.259
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.241
Pond3Fish3_PondTime,27.106
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,682
Pond3Fish3_TimeLeft,450.235
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.988
Pond3Fish4_PondTime,36.966
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,693
