,5dacaea50cd3ff0016e3f493
GiveUpTime,2.294
PondTime,123.358
TimeLeft,282.751
PondOutcome,99
TotalOutcome,748
PondStart,PondStart
PondIntroTime,13.374366636853665
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.994
Pond2Fish1_PondTime,7.8
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,759
Pond2Fish1_TimeLeft,260.965
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.834
Pond2Fish2_PondTime,13.919
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,770
Pond2Fish2_TimeLeft,254.846
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.695
Pond2Fish3_PondTime,20.284
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,781
Pond2Fish3_TimeLeft,248.481
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.791
Pond2Fish4_PondTime,26.935
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,792
Pond2Fish4_TimeLeft,241.829
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.741
Pond2Fish5_PondTime,33.918
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,803
Pond2Fish5_TimeLeft,234.847
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,0.886
Pond2Fish6_PondTime,41.284
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,814
Pond2Fish6_TimeLeft,227.481
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.314
Pond2Fish7_PondTime,49.1
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,825
Pond2Fish7_TimeLeft,219.665
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.875
Pond2Fish8_PondTime,57.468
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,836
Pond2Fish8_TimeLeft,211.297
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.742
Pond2Fish9_PondTime,66.499
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,847
Pond2Fish9_TimeLeft,202.266
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.968
Pond2Fish10_PondTime,76.368
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,858
Pond2Fish10_TimeLeft,192.397
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.612
Pond2Fish11_PondTime,87.3
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,869
Pond2Fish11_TimeLeft,181.465
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,0.681
