,5dcee15fa6438002940762a7
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.829
Pond1Fish10_PondTime,72.168
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,759
Pond1Fish10_TimeLeft,306.522
Type,N
FishN,16
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.131
Pond1Fish11_PondTime,82.033
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,770
Pond1Fish11_TimeLeft,296.657
Type,N
FishN,16
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,0.935
Pond1Fish12_PondTime,92.966
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,781
Pond1Fish12_TimeLeft,285.724
Type,N
FishN,16
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.927
Pond1Fish13_PondTime,105.332
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,792
Pond1Fish13_TimeLeft,273.358
Type,N
FishN,16
Fish,14
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,0.912
Pond1Fish14_PondTime,119.699
Pond1Fish14_PondOutcome,154
Pond1Fish14_TotalOutcome,803
Pond1Fish14_TimeLeft,258.991
Type,N
FishN,16
Fish,15
Pond1Fish15_FishType,green
Pond1Fish15_FishLatency,12
Pond1Fish15_CatchTime,0.905
Pond1Fish15_PondTime,137.068
Pond1Fish15_PondOutcome,165
Pond1Fish15_TotalOutcome,814
Pond1Fish15_TimeLeft,241.622
PondEnd_LastFish,15
FishN,19
Type,N
GiveUpTime,1.375
PondTime,137.557
TimeLeft,240.63
PondOutcome,165
TotalOutcome,814
PondStart,PondStart
PondIntroTime,16.746426727622747
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.903
Pond10Fish1_PondTime,9.732
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,825
Pond10Fish1_TimeLeft,213.54
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.703
Pond10Fish2_PondTime,18.099
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,836
Pond10Fish2_TimeLeft,205.174
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.919
Pond10Fish3_PondTime,27.132
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,847
Pond10Fish3_TimeLeft,196.141
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.354
Pond10Fish4_PondTime,37.001
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,858
Pond10Fish4_TimeLeft,186.272
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.662
Pond10Fish5_PondTime,47.932
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,869
Pond10Fish5_TimeLeft,175.341
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.056
Pond10Fish6_PondTime,60.299
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,880
Pond10Fish6_TimeLeft,162.974
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.017
Pond10Fish7_PondTime,74.666
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,891
Pond10Fish7_TimeLeft,148.607
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,0.842
Pond10Fish8_PondTime,92.032
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,902
Pond10Fish8_TimeLeft,131.241
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.179
Pond10Fish9_PondTime,114.401
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,913
Pond10Fish9_TimeLeft,108.872
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,20
Pond10Fish10_CatchTime,1.324
Pond10Fish10_PondTime,146.767
Pond10Fish10_PondOutcome,110
