,5c07f9ce7ce1dd0001a4efec
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,660
Pond7Fish7_TimeLeft,488.114
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.73
Pond7Fish8_PondTime,64.309
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,671
Pond7Fish8_TimeLeft,478.258
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.175
Pond7Fish9_PondTime,75.248
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,682
Pond7Fish9_TimeLeft,467.319
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,1.308
Pond7Fish10_PondTime,87.604
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,693
Pond7Fish10_TimeLeft,454.963
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.768
PondTime,101.923
TimeLeft,440.141
PondOutcome,110
TotalOutcome,693
PondStart,PondStart
PondIntroTime,17.508466276340187
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.043
Pond5Fish1_PondTime,7.81
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,704
Pond5Fish1_TimeLeft,414.201
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.073
Pond5Fish2_PondTime,13.924
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,715
Pond5Fish2_TimeLeft,408.087
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.291
Pond5Fish3_PondTime,20.283
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,726
Pond5Fish3_TimeLeft,401.728
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.095
Pond5Fish4_PondTime,26.926
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,737
Pond5Fish4_TimeLeft,395.085
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.142
Pond5Fish5_PondTime,33.903
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,748
Pond5Fish5_TimeLeft,388.107
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,2.039
Pond5Fish6_PondTime,41.325
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,759
Pond5Fish6_TimeLeft,380.686
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.003
Pond5Fish7_PondTime,49.138
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,770
Pond5Fish7_TimeLeft,372.873
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,-1
Pond5Fish8_PondTime,57.56
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,770
Pond5Fish8_TimeLeft,364.451
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.849
Pond5Fish9_PondTime,66.752
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,781
Pond5Fish9_TimeLeft,355.259
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.152
Pond5Fish10_PondTime,76.612
Pond5Fish10_PondOutcome,99
Pond5Fish10_TotalOutcome,792
Pond5Fish10_TimeLeft,345.399
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,1.327
Pond5Fish11_PondTime,87.552
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,803
Pond5Fish11_TimeLeft,334.459
PondEnd_LastFish,11
FishN,18
Type,N
GiveUpTime,0.635
PondTime,99.623
TimeLeft,321.885
PondOutcome,110
TotalOutcome,803
PondStart,PondStart
PondIntroTime,17.33600955689326
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.184
Pond3Fish1_PondTime,7.811
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,814
Pond3Fish1_TimeLeft,296.095
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.827
Pond3Fish2_PondTime,14.053
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,825
Pond3Fish2_TimeLeft,289.853
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.838
Pond3Fish3_PondTime,20.416
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,836
Pond3Fish3_TimeLeft,283.49
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.954
Pond3Fish4_PondTime,27.06
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,847
Pond3Fish4_TimeLeft,276.846
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.864
Pond3Fish5_PondTime,34.037
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,858
Pond3Fish5_TimeLeft,269.869
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.879
Pond3Fish6_PondTime,41.397
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,869
Pond3Fish6_TimeLeft,262.509
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.766
Pond3Fish7_PondTime,49.206
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,880
Pond3Fish7_TimeLeft,254.7
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.967
Pond3Fish8_PondTime,57.565
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,891
Pond3Fish8_TimeLeft,246.341
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,0.926
Pond3Fish9_PondTime,66.59
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,902
Pond3Fish9_TimeLeft,237.316
Type,N
FishN,18
