,5e208aa1e87b8e000b43675d
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.998
Pond3Fish2_PondTime,16.249
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,682
Pond3Fish2_TimeLeft,503.287
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.784
Pond3Fish3_PondTime,24.067
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,693
Pond3Fish3_TimeLeft,495.469
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.831
Pond3Fish4_PondTime,32.433
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,704
Pond3Fish4_TimeLeft,487.103
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.723
Pond3Fish5_PondTime,41.464
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,715
Pond3Fish5_TimeLeft,478.072
PondEnd_LastFish,5
FishN,14
Type,N
GiveUpTime,0.697
PondTime,51.01
TimeLeft,468.022
PondOutcome,55
TotalOutcome,715
PondStart,PondStart
PondIntroTime,18.08989766985178
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,0.957
Pond6Fish1_PondTime,8.032
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,726
Pond6Fish1_TimeLeft,441.288
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,0.862
Pond6Fish2_PondTime,14.399
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,737
Pond6Fish2_TimeLeft,434.921
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.538
Pond6Fish3_PondTime,21.054
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,748
Pond6Fish3_TimeLeft,428.266
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.659
Pond6Fish4_PondTime,28.032
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,759
Pond6Fish4_TimeLeft,421.288
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.935
Pond6Fish5_PondTime,35.4
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,770
Pond6Fish5_TimeLeft,413.92
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,0.855
Pond6Fish6_PondTime,43.215
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,781
Pond6Fish6_TimeLeft,406.105
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.977
Pond6Fish7_PondTime,51.583
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,792
Pond6Fish7_TimeLeft,397.737
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,0.958
Pond6Fish8_PondTime,60.617
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,803
Pond6Fish8_TimeLeft,388.703
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,0.996
Pond6Fish9_PondTime,70.482
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,814
Pond6Fish9_TimeLeft,378.838
PondEnd_LastFish,9
FishN,17
Type,N
GiveUpTime,0.665
PondTime,81.104
TimeLeft,367.711
PondOutcome,99
TotalOutcome,814
PondStart,PondStart
PondIntroTime,12.25492178928107
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,0.749
Pond7Fish1_PondTime,8.567
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,825
Pond7Fish1_TimeLeft,346.254
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.848
Pond7Fish2_PondTime,15.7
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,836
Pond7Fish2_TimeLeft,339.121
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.981
Pond7Fish3_PondTime,23.066
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,847
Pond7Fish3_TimeLeft,331.755
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.8
Pond7Fish4_PondTime,30.885
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,858
Pond7Fish4_TimeLeft,323.936
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.726
Pond7Fish5_PondTime,39.252
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,869
Pond7Fish5_TimeLeft,315.569
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.891
Pond7Fish6_PondTime,48.287
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,880
Pond7Fish6_TimeLeft,306.534
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.012
Pond7Fish7_PondTime,58.15
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,891
Pond7Fish7_TimeLeft,296.67
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.635
Pond7Fish8_PondTime,69.084
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,902
Pond7Fish8_TimeLeft,285.736
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,0.464
PondTime,80.68
TimeLeft,273.639
PondOutcome,88
TotalOutcome,902
PondStart,PondStart
PondIntroTime,13.607686306349933
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.3333333333333335
