,5e236a025ade0b61f502fd1d
Pond9Fish6_PondTime,43.272
Pond9Fish6_PondOutcome,52
Pond9Fish6_TotalOutcome,700
Pond9Fish6_TimeLeft,370.257
Type,RD
FishN,14
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.985
Pond9Fish7_PondTime,51.637
Pond9Fish7_PondOutcome,64
Pond9Fish7_TotalOutcome,712
Pond9Fish7_TimeLeft,361.891
Type,RD
FishN,14
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,0.647
Pond9Fish8_PondTime,60.67
Pond9Fish8_PondOutcome,76
Pond9Fish8_TotalOutcome,724
Pond9Fish8_TimeLeft,352.859
Type,RD
FishN,14
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,0.756
Pond9Fish9_PondTime,70.538
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,736
Pond9Fish9_TimeLeft,342.991
Type,RD
FishN,14
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,0.918
Pond9Fish10_PondTime,81.488
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,748
Pond9Fish10_TimeLeft,332.041
Type,RD
FishN,14
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.861
Pond9Fish11_PondTime,93.905
Pond9Fish11_PondOutcome,112
Pond9Fish11_TotalOutcome,760
Pond9Fish11_TimeLeft,319.624
Type,RD
FishN,14
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,0.884
Pond9Fish12_PondTime,108.273
Pond9Fish12_PondOutcome,124
Pond9Fish12_TotalOutcome,772
Pond9Fish12_TimeLeft,305.256
Type,RD
FishN,14
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,0.734
Pond9Fish13_PondTime,125.641
Pond9Fish13_PondOutcome,136
Pond9Fish13_TotalOutcome,784
Pond9Fish13_TimeLeft,287.888
Type,RD
FishN,14
Fish,14
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,15
Pond9Fish14_CatchTime,-1
Pond9Fish14_PondTime,148.09
Pond9Fish14_PondOutcome,136
Pond9Fish14_TotalOutcome,784
Pond9Fish14_TimeLeft,265.439
Type,RD
FishN,14
Fish,15
Pond9Fish15_FishType,blue
Pond9Fish15_FishLatency,20
Pond9Fish15_CatchTime,0.901
Pond9Fish15_PondTime,180.458
Pond9Fish15_PondOutcome,148
Pond9Fish15_TotalOutcome,796
Pond9Fish15_TimeLeft,233.071
PondEnd_LastFish,15
FishN,17
Type,RD
GiveUpTime,46.201
PondTime,225.774
TimeLeft,187.251
PondOutcome,148
TotalOutcome,796
PondStart,PondStart
PondIntroTime,12.065945288632065
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.704
Pond7Fish1_PondTime,8.884
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,806
Pond7Fish1_TimeLeft,165.669
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.714
Pond7Fish2_PondTime,16.267
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,816
Pond7Fish2_TimeLeft,158.286
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.941
Pond7Fish3_PondTime,24.089
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,826
Pond7Fish3_TimeLeft,150.464
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.84
Pond7Fish4_PondTime,32.451
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,836
Pond7Fish4_TimeLeft,142.102
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.055
Pond7Fish5_PondTime,41.487
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,846
Pond7Fish5_TimeLeft,133.066
Type,RT
FishN,12
Fish,6
Pond7Fish6_FishType,golden
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.107
Pond7Fish6_PondTime,51.37
Pond7Fish6_PondOutcome,70
