,5c4a0edb10903d0001487d13
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.192
Pond6Fish8_PondTime,71.596
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,794
Pond6Fish8_TimeLeft,381.224
Pond6_Type,RD
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.183
Pond6Fish9_PondTime,80.639
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,806
Pond6Fish9_TimeLeft,372.181
Pond6_Type,RD
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.45
Pond6Fish10_PondTime,90.592
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,818
Pond6Fish10_TimeLeft,362.228
Pond6_Type,RD
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.06
Pond6Fish11_PondTime,101.554
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,830
Pond6Fish11_TimeLeft,351.266
Pond6_Type,RD
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.531
Pond6Fish12_PondTime,113.957
Pond6Fish12_PondOutcome,134
Pond6Fish12_TotalOutcome,842
Pond6Fish12_TimeLeft,338.863
Pond6_Type,RD
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.238
Pond6Fish13_PondTime,128.371
Pond6Fish13_PondOutcome,146
Pond6Fish13_TotalOutcome,854
Pond6Fish13_TimeLeft,324.449
Pond6_Type,RD
Pond6Fish14_FishType,blue
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,1.44
Pond6Fish14_PondTime,145.762
Pond6Fish14_PondOutcome,158
Pond6Fish14_TotalOutcome,866
Pond6Fish14_TimeLeft,307.058
Pond6_GiveUpTime,0.869
Pond6_PondTime,168.629
Pond6_PondOutcome,158
Pond6_TotalOutcome,866
Pond6_TimeLeft,284.191
Pond8IntroTime,19.333218128886074
Pond8_Type,RD
Pond8Fish1_FishType,gray
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.383
Pond8Fish1_PondTime,29.295
Pond8Fish1_PondOutcome,2
Pond8Fish1_TotalOutcome,868
Pond8Fish1_TimeLeft,254.896
Pond8_Type,RD
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,0.949
Pond8Fish2_PondTime,37.167
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,880
Pond8Fish2_TimeLeft,247.024
Pond8_Type,RD
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.004
Pond8Fish3_PondTime,45.595
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,892
Pond8Fish3_TimeLeft,238.596
Pond8_Type,RD
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.042
