,5c798168b5254b00019065f5
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.864
Pond9Fish2_PondTime,35.506
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,818
Pond9Fish2_TimeLeft,363.399
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.591
Pond9Fish3_PondTime,42.862
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,830
Pond9Fish3_TimeLeft,356.043
Pond9_Type,RD
Pond9Fish4_FishType,gray
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.863
Pond9Fish4_PondTime,50.687
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,832
Pond9Fish4_TimeLeft,348.218
Pond9_Type,RD
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.517
Pond9Fish5_PondTime,59.049
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,844
Pond9Fish5_TimeLeft,339.856
Pond9_Type,RD
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.584
Pond9Fish6_PondTime,68.071
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,856
Pond9Fish6_TimeLeft,330.834
Pond9_Type,RD
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.586
Pond9Fish7_PondTime,77.931
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,868
Pond9Fish7_TimeLeft,320.974
Pond9_Type,RD
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.031
Pond9Fish8_PondTime,88.858
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,880
Pond9Fish8_TimeLeft,310.047
Pond9_Type,RD
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.03
Pond9Fish9_PondTime,101.223
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,892
Pond9Fish9_TimeLeft,297.682
Pond9_GiveUpTime,0.649
Pond9_PondTime,115.453
Pond9_PondOutcome,98
Pond9_TotalOutcome,892
Pond9_TimeLeft,283.452
Pond4IntroTime,17.905267535243183
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.621
Pond4Fish1_PondTime,27.429
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,904
Pond4Fish1_TimeLeft,256.023
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.535
Pond4Fish2_PondTime,34.802
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,916
Pond4Fish2_TimeLeft,248.65
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.441
Pond4Fish3_PondTime,42.624
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,928
Pond4Fish3_TimeLeft,240.828
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.607
Pond4Fish4_PondTime,50.986
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,940
Pond4Fish4_TimeLeft,232.466
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.599
Pond4Fish5_PondTime,60.009
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,952
Pond4Fish5_TimeLeft,223.443
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.886
Pond4Fish6_PondTime,69.868
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,964
Pond4Fish6_TimeLeft,213.584
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,0.587
Pond4Fish7_PondTime,80.817
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,976
Pond4Fish7_TimeLeft,202.635
Pond4_Type,RD
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,8.571428571428571
