,5a6ce4d3d5d4cb0001d667c8
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,816
Pond11Fish3_TimeLeft,280.294
Pond11_GiveUpTime,0.732
Pond11_PondTime,50.43
Pond11_PondOutcome,33
Pond11_TotalOutcome,816
Pond11_TimeLeft,270.202
Pond9IntroTime,15.402158934157342
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.51
Pond9Fish1_PondTime,24.031
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,827
Pond9Fish1_TimeLeft,246.171
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.855
Pond9Fish2_PondTime,30.563
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,838
Pond9Fish2_TimeLeft,239.639
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.233
Pond9Fish3_PondTime,37.227
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,849
Pond9Fish3_TimeLeft,232.975
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.988
Pond9Fish4_PondTime,44.209
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,860
Pond9Fish4_TimeLeft,225.993
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.994
