,5c9e974dc00f5a0012f9884d
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,917
Pond12Fish10_TimeLeft,222.411
Pond12_Type,N
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,1.402
Pond12Fish11_PondTime,134.392
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,928
Pond12Fish11_TimeLeft,205.055
Pond12_Type,N
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,15
Pond12Fish12_CatchTime,1.2
Pond12Fish12_PondTime,156.758
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,939
Pond12Fish12_TimeLeft,182.689
Pond12_Type,N
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,20
Pond12Fish13_CatchTime,1.046
Pond12Fish13_PondTime,189.119
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,950
Pond12Fish13_TimeLeft,150.328
Pond12_GiveUpTime,0.942
Pond12_PondTime,189.709
Pond12_PondOutcome,143
Pond12_TotalOutcome,950
Pond12_TimeLeft,149.738
Pond4IntroTime,16.37750922702253
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.335
Pond4Fish1_PondTime,26.307
Pond4Fish1_PondOutcome,12
