,5bb787e0d2279e0001d00e0b
Pond4Fish6_TimeLeft,430.298
Type,RT
FishN,19
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.475
Pond4Fish7_PondTime,62.451
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,850
Pond4Fish7_TimeLeft,419.318
Type,RT
FishN,19
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.437
Pond4Fish8_PondTime,74.829
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,860
Pond4Fish8_TimeLeft,406.941
Type,RT
FishN,19
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.274
Pond4Fish9_PondTime,89.206
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,870
Pond4Fish9_TimeLeft,392.564
Type,RT
FishN,19
Fish,10
Pond4Fish10_FishType,golden
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,1.259
Pond4Fish10_PondTime,106.602
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,890
Pond4Fish10_TimeLeft,375.168
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,1.67
PondTime,107.725
TimeLeft,373.543
PondOutcome,110
TotalOutcome,890
PondStart,PondStart
PondIntroTime,12.738629484083503
Type,N
FishN,15
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.555
Pond11Fish1_PondTime,7.839
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,901
Pond11Fish1_TimeLeft,352.34
Type,N
FishN,15
Fish,2
