,5d3a286034acef001ceb73ac
FishN,15
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.56
Pond9Fish8_PondTime,60.621
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,758
Pond9Fish8_TimeLeft,227.057
Type,RT
FishN,15
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.553
Pond9Fish9_PondTime,70.489
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,768
Pond9Fish9_TimeLeft,217.189
Type,RT
FishN,15
Fish,10
Pond9Fish10_FishType,golden
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.11
Pond9Fish10_PondTime,81.421
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,788
Pond9Fish10_TimeLeft,206.257
Type,RT
FishN,15
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.519
Pond9Fish11_PondTime,93.787
Pond9Fish11_PondOutcome,130
Pond9Fish11_TotalOutcome,798
Pond9Fish11_TimeLeft,193.891
Type,RT
FishN,15
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,1.312
Pond9Fish12_PondTime,108.16
Pond9Fish12_PondOutcome,140
Pond9Fish12_TotalOutcome,808
Pond9Fish12_TimeLeft,179.518
Type,RT
FishN,15
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,1.425
Pond9Fish13_PondTime,125.53
Pond9Fish13_PondOutcome,150
Pond9Fish13_TotalOutcome,818
Pond9Fish13_TimeLeft,162.148
Type,RT
FishN,15
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,15
Pond9Fish14_CatchTime,1.438
Pond9Fish14_PondTime,147.89
Pond9Fish14_PondOutcome,160
Pond9Fish14_TotalOutcome,828
Pond9Fish14_TimeLeft,139.788
Type,RT
FishN,15
Fish,15
Pond9Fish15_FishType,purple
Pond9Fish15_FishLatency,20
Pond9Fish15_CatchTime,1.625
Pond9Fish15_PondTime,180.261
Pond9Fish15_PondOutcome,170
Pond9Fish15_TotalOutcome,838
Pond9Fish15_TimeLeft,107.417
PondEnd_LastFish,15
FishN,17
Type,RT
GiveUpTime,0.723
PondTime,180.817
TimeLeft,106.358
PondOutcome,170
TotalOutcome,838
PondStart,PondStart
PondIntroTime,14.096443552989513
Type,RT
FishN,15
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.144
Pond6Fish1_PondTime,7.62
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,848
Pond6Fish1_TimeLeft,84.029
Type,RT
FishN,15
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.002
Pond6Fish2_PondTime,13.523
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,858
Pond6Fish2_TimeLeft,78.126
Type,RT
FishN,15
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.509
Pond6Fish3_PondTime,19.636
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,868
Pond6Fish3_TimeLeft,72.013
Type,RT
FishN,15
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.193
Pond6Fish4_PondTime,26.002
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,878
