,5e2180f70e01cd000d9f79ed
Pond1Fish4_CatchTime,0.719
Pond1Fish4_PondTime,27.215
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,889
Pond1Fish4_TimeLeft,86.691
Type,N
FishN,18
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.063
Pond1Fish5_PondTime,34.198
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,900
Pond1Fish5_TimeLeft,79.708
Type,N
FishN,18
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.833
Pond1Fish6_PondTime,41.564
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,911
Pond1Fish6_TimeLeft,72.342
Type,N
FishN,18
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.979
Pond1Fish7_PondTime,49.376
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,922
Pond1Fish7_TimeLeft,64.53
Type,N
FishN,18
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.989
Pond1Fish8_PondTime,57.741
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,933
Pond1Fish8_TimeLeft,56.165
Type,N
FishN,18
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.157
Pond1Fish9_PondTime,66.775
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,944
Pond1Fish9_TimeLeft,47.131
Type,N
FishN,18
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.93
Pond1Fish10_PondTime,76.64
Pond1Fish10_PondOutcome,110
