,5d1005df9b7ef700184e458d
Pond5Fish5_TimeLeft,347.351
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,gray
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.937
Pond5Fish6_PondTime,39.641
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,685
Pond5Fish6_TimeLeft,340.365
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.797
Pond5Fish7_PondTime,47.005
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,697
Pond5Fish7_TimeLeft,333.001
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.723
Pond5Fish8_PondTime,54.825
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,709
Pond5Fish8_TimeLeft,325.181
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.795
Pond5Fish9_PondTime,63.197
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,721
Pond5Fish9_TimeLeft,316.809
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.725
Pond5Fish10_PondTime,72.24
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,733
Pond5Fish10_TimeLeft,307.766
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.045
Pond5Fish11_PondTime,82.111
Pond5Fish11_PondOutcome,122
Pond5Fish11_TotalOutcome,745
Pond5Fish11_TimeLeft,297.895
Type,RD
FishN,12
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,0.776
Pond5Fish12_PondTime,93.048
Pond5Fish12_PondOutcome,134
Pond5Fish12_TotalOutcome,757
Pond5Fish12_TimeLeft,286.958
Type,RD
FishN,12
Fish,13
Pond5Fish13_FishType,blue
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,0.97
Pond5Fish13_PondTime,105.411
Pond5Fish13_PondOutcome,146
Pond5Fish13_TotalOutcome,769
Pond5Fish13_TimeLeft,274.595
Type,RD
FishN,12
Fish,14
Pond5Fish14_FishType,blue
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,0.953
Pond5Fish14_PondTime,119.778
Pond5Fish14_PondOutcome,158
Pond5Fish14_TotalOutcome,781
Pond5Fish14_TimeLeft,260.228
Type,RD
FishN,12
Fish,15
Pond5Fish15_FishType,gray
Pond5Fish15_FishLatency,12
Pond5Fish15_CatchTime,1.51
Pond5Fish15_PondTime,137.149
Pond5Fish15_PondOutcome,160
Pond5Fish15_TotalOutcome,783
Pond5Fish15_TimeLeft,242.857
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,16.265
PondTime,153.128
TimeLeft,226.37
PondOutcome,160
TotalOutcome,783
PondStart,PondStart
PondIntroTime,13.337981801014394
Type,RD
FishN,12
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.756
Pond7Fish1_PondTime,8.286
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,795
Pond7Fish1_TimeLeft,204.102
Type,RD
FishN,12
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.909
Pond7Fish2_PondTime,14.933
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,807
Pond7Fish2_TimeLeft,197.455
Type,RD
FishN,12
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.144
Pond7Fish3_PondTime,21.918
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,819
Pond7Fish3_TimeLeft,190.469
Type,RD
FishN,12
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.819
Pond7Fish4_PondTime,29.286
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,831
Pond7Fish4_TimeLeft,183.102
Type,RD
FishN,12
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.921
Pond7Fish5_PondTime,37.106
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,843
Pond7Fish5_TimeLeft,175.282
Type,RD
FishN,12
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.935
Pond7Fish6_PondTime,45.471
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,855
Pond7Fish6_TimeLeft,166.917
Type,RD
FishN,12
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.838
Pond7Fish7_PondTime,54.509
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,867
Pond7Fish7_TimeLeft,157.879
Type,RD
FishN,12
Fish,8
Pond7Fish8_FishType,gray
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,0.913
Pond7Fish8_PondTime,64.371
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,869
Pond7Fish8_TimeLeft,148.016
Type,RD
FishN,12
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.824
Pond7Fish9_PondTime,75.308
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,881
Pond7Fish9_TimeLeft,137.08
Type,RD
FishN,12
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,0.897
Pond7Fish10_PondTime,87.674
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,893
Pond7Fish10_TimeLeft,124.714
Type,RD
FishN,12
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,0.989
