,5bbae55a6322c500015a2b5b
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.533
Pond6Fish10_PondTime,81.631
Pond6Fish10_PondOutcome,99
Pond6Fish10_TotalOutcome,763
Pond6Fish10_TimeLeft,419.899
Type,N
FishN,19
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.493
Pond6Fish11_PondTime,93.995
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,774
Pond6Fish11_TimeLeft,407.535
Type,N
FishN,19
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.405
Pond6Fish12_PondTime,108.364
Pond6Fish12_PondOutcome,121
Pond6Fish12_TotalOutcome,785
Pond6Fish12_TimeLeft,393.165
Type,N
FishN,19
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,12
Pond6Fish13_CatchTime,1.186
Pond6Fish13_PondTime,125.733
Pond6Fish13_PondOutcome,132
Pond6Fish13_TotalOutcome,796
Pond6Fish13_TimeLeft,375.797
Type,N
FishN,19
Fish,14
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,15
Pond6Fish14_CatchTime,1.352
Pond6Fish14_PondTime,148.105
Pond6Fish14_PondOutcome,143
Pond6Fish14_TotalOutcome,807
Pond6Fish14_TimeLeft,353.425
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.776
PondTime,148.442
TimeLeft,352.585
PondOutcome,143
TotalOutcome,807
PondStart,PondStart
PondIntroTime,18.43034485820681
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.143
Pond9Fish1_PondTime,7.625
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,819
Pond9Fish1_TimeLeft,325.901
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.658
Pond9Fish2_PondTime,13.534
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,831
Pond9Fish2_TimeLeft,319.992
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.991
Pond9Fish3_PondTime,19.952
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,843
Pond9Fish3_TimeLeft,313.574
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.342
Pond9Fish4_PondTime,26.321
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,855
Pond9Fish4_TimeLeft,307.205
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.09
Pond9Fish5_PondTime,32.991
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,867
Pond9Fish5_TimeLeft,300.535
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
