,5ddb705139bca1aab0b157d8
Pond8Fish5_TimeLeft,428.395
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.724
Pond8Fish6_PondTime,48.099
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,822
Pond8Fish6_TimeLeft,419.367
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,0.935
Pond8Fish7_PondTime,57.955
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,832
Pond8Fish7_TimeLeft,409.511
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.856
Pond8Fish8_PondTime,68.892
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,842
Pond8Fish8_TimeLeft,398.574
Type,RT
FishN,17
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,0.708
Pond8Fish9_PondTime,81.255
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,852
Pond8Fish9_TimeLeft,386.211
Type,RT
FishN,17
Fish,10
Pond8Fish10_FishType,golden
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,0.708
Pond8Fish10_PondTime,95.62
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,872
Pond8Fish10_TimeLeft,371.846
Type,RT
FishN,17
Fish,11
Pond8Fish11_FishType,purple
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.668
Pond8Fish11_PondTime,112.984
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,882
Pond8Fish11_TimeLeft,354.482
PondEnd_LastFish,11
FishN,17
Type,RT
GiveUpTime,0.354
PondTime,113.211
TimeLeft,353.754
PondOutcome,120
TotalOutcome,882
PondStart,PondStart
PondIntroTime,17.387609812431037
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.897
Pond11Fish1_PondTime,8.276
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,893
Pond11Fish1_TimeLeft,327.473
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.87
Pond11Fish2_PondTime,14.918
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,904
Pond11Fish2_TimeLeft,320.831
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.948
Pond11Fish3_PondTime,21.893
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,915
Pond11Fish3_TimeLeft,313.856
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.88
Pond11Fish4_PondTime,29.255
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,926
Pond11Fish4_TimeLeft,306.494
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.136
Pond11Fish5_PondTime,37.072
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,937
Pond11Fish5_TimeLeft,298.677
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
