,5d8564939c1e25000108b508
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.054
Pond3Fish6_PondTime,43.313
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,858
Pond3Fish6_TimeLeft,303.448
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.059
Pond3Fish7_PondTime,51.698
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,869
Pond3Fish7_TimeLeft,295.064
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,1.201
Pond3Fish8_PondTime,60.74
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,880
Pond3Fish8_TimeLeft,286.022
PondEnd_LastFish,8
FishN,19
Type,N
GiveUpTime,1.709
PondTime,61.848
TimeLeft,284.411
PondOutcome,88
TotalOutcome,880
PondStart,PondStart
PondIntroTime,17.409691682551056
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,gray
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,8.62
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,880
Pond8Fish1_TimeLeft,257.749
PondEnd_LastFish,1
FishN,17
Type,RD
GiveUpTime,26.281
PondTime,10.045
TimeLeft,255.822
PondOutcome,0
TotalOutcome,880
PondStart,PondStart
PondIntroTime,11.477632001042366
Type,N
FishN,12
Fish,1
