,5c9a8b09597af60011351647
Pond10Fish8_CatchTime,0.991
Pond10Fish8_PondTime,92.932
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,813
Pond10Fish8_TimeLeft,84.343
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,0.93
Pond10Fish9_PondTime,115.3
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,824
Pond10Fish9_TimeLeft,61.975
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,20
Pond10Fish10_CatchTime,1.187
Pond10Fish10_PondTime,147.657
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,835
Pond10Fish10_TimeLeft,29.618
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,22.141
PondTime,169.197
TimeLeft,7.576
PondOutcome,110
TotalOutcome,835
PondStart,PondStart
