,5c9c7cc072bf7f0017b6b798
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.002
Pond2Fish3_PondTime,25.512
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,673
Pond2Fish3_TimeLeft,408.031
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.177
Pond2Fish4_PondTime,34.563
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,684
Pond2Fish4_TimeLeft,398.98
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.314
Pond2Fish5_PondTime,44.462
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,695
Pond2Fish5_TimeLeft,389.081
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.999
Pond2Fish6_PondTime,55.412
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,706
Pond2Fish6_TimeLeft,378.131
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.068
Pond2Fish7_PondTime,67.784
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,717
Pond2Fish7_TimeLeft,365.759
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.501
Pond2Fish8_PondTime,82.189
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,728
Pond2Fish8_TimeLeft,351.354
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,1.388
Pond2Fish9_PondTime,99.55
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,739
Pond2Fish9_TimeLeft,333.992
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,20.761
PondTime,119.908
TimeLeft,313.133
PondOutcome,99
TotalOutcome,739
PondStart,PondStart
PondIntroTime,14.82004668796435
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.823
Pond11Fish1_PondTime,7.828
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,749
Pond11Fish1_TimeLeft,289.874
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.014
Pond11Fish2_PondTime,13.965
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,759
Pond11Fish2_TimeLeft,283.737
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.972
Pond11Fish3_PondTime,20.334
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,769
Pond11Fish3_TimeLeft,277.368
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.839
Pond11Fish4_PondTime,26.994
