,5a6ca245d5d4cb0001d66195
Pond10Fish5_CatchTime,0.645
Pond10Fish5_PondTime,35.576
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,634
Pond10Fish5_TimeLeft,582.223
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,golden
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.644
Pond10Fish6_PondTime,43.441
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,654
Pond10Fish6_TimeLeft,574.358
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.708
Pond10Fish7_PondTime,51.846
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,664
Pond10Fish7_TimeLeft,565.953
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.891
Pond10Fish8_PondTime,60.919
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,674
Pond10Fish8_TimeLeft,556.88
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,0.809
Pond10Fish9_PondTime,70.821
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,684
Pond10Fish9_TimeLeft,546.977
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,0.819
Pond10Fish10_PondTime,81.811
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,694
Pond10Fish10_TimeLeft,535.988
Type,RT
FishN,19
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,0.924
Pond10Fish11_PondTime,94.217
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,704
Pond10Fish11_TimeLeft,523.582
Type,RT
FishN,19
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,0.829
Pond10Fish12_PondTime,108.647
Pond10Fish12_PondOutcome,130
Pond10Fish12_TotalOutcome,714
Pond10Fish12_TimeLeft,509.152
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.906
PondTime,125.875
TimeLeft,491.405
PondOutcome,130
TotalOutcome,714
PondStart,PondStart
PondIntroTime,11.18792891036719
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.886
Pond4Fish1_PondTime,9.292
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,725
Pond4Fish1_TimeLeft,470.274
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,-1
Pond4Fish2_PondTime,17.213
Pond4Fish2_PondOutcome,11
Pond4Fish2_TotalOutcome,725
Pond4Fish2_TimeLeft,462.354
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.194
Pond4Fish3_PondTime,25.624
Pond4Fish3_PondOutcome,22
Pond4Fish3_TotalOutcome,736
Pond4Fish3_TimeLeft,453.943
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.769
Pond4Fish4_PondTime,34.703
Pond4Fish4_PondOutcome,33
Pond4Fish4_TotalOutcome,747
Pond4Fish4_TimeLeft,444.864
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.75
Pond4Fish5_PondTime,44.605
Pond4Fish5_PondOutcome,44
Pond4Fish5_TotalOutcome,758
Pond4Fish5_TimeLeft,434.962
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.786
Pond4Fish6_PondTime,55.574
Pond4Fish6_PondOutcome,55
Pond4Fish6_TotalOutcome,769
Pond4Fish6_TimeLeft,423.993
PondEnd_LastFish,6
FishN,16
Type,N
GiveUpTime,0.497
PondTime,67.539
TimeLeft,411.519
PondOutcome,55
TotalOutcome,769
PondStart,PondStart
PondIntroTime,13.045785415451974
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.112
Pond1Fish1_PondTime,8.324
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,780
Pond1Fish1_TimeLeft,389.485
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.95
Pond1Fish2_PondTime,15.007
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,791
Pond1Fish2_TimeLeft,382.802
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,22.1
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,791
Pond1Fish3_TimeLeft,375.709
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.78
Pond1Fish4_PondTime,29.493
Pond1Fish4_PondOutcome,33
Pond1Fish4_TotalOutcome,802
Pond1Fish4_TimeLeft,368.316
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.807
Pond1Fish5_PondTime,37.342
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,813
Pond1Fish5_TimeLeft,360.468
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.995
Pond1Fish6_PondTime,45.754
Pond1Fish6_PondOutcome,55
Pond1Fish6_TotalOutcome,824
Pond1Fish6_TimeLeft,352.056
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.898
Pond1Fish7_PondTime,54.83
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,835
Pond1Fish7_TimeLeft,342.98
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.773
Pond1Fish8_PondTime,64.751
Pond1Fish8_PondOutcome,77
Pond1Fish8_TotalOutcome,846
Pond1Fish8_TimeLeft,333.059
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,0.951
Pond1Fish9_PondTime,75.739
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,857
Pond1Fish9_TimeLeft,322.07
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.873
Pond1Fish10_PondTime,88.135
Pond1Fish10_PondOutcome,99
Pond1Fish10_TotalOutcome,868
Pond1Fish10_TimeLeft,309.675
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.776
PondTime,102.446
TimeLeft,294.853
PondOutcome,99
TotalOutcome,868
PondStart,PondStart
PondIntroTime,18.4450169862248
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.044
Pond6Fish1_PondTime,9.767
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,878
Pond6Fish1_TimeLeft,265.991
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5.454545454545454
