,5c58039de9813700018aef07
FishN,16
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,1.269
Pond4Fish10_PondTime,87.999
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,851
Pond4Fish10_TimeLeft,297.755
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,1.101
Pond4Fish11_PondTime,102.366
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,861
Pond4Fish11_TimeLeft,283.388
Type,RT
FishN,16
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,12
Pond4Fish12_CatchTime,1.24
Pond4Fish12_PondTime,119.734
Pond4Fish12_PondOutcome,120
Pond4Fish12_TotalOutcome,871
Pond4Fish12_TimeLeft,266.02
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,0.553
