,59c0de1c754a19000111c362
Pond5Fish7_CatchTime,1.202
Pond5Fish7_PondTime,67.811
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,831
Pond5Fish7_TimeLeft,95.646
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,0.797
Pond5Fish8_PondTime,82.175
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,842
Pond5Fish8_TimeLeft,81.282
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,0.789
Pond5Fish9_PondTime,99.553
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,853
Pond5Fish9_TimeLeft,63.905
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.001
Pond5Fish10_PondTime,121.958
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,864
Pond5Fish10_TimeLeft,41.5
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,20
Pond5Fish11_CatchTime,1.274
Pond5Fish11_PondTime,154.348
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,875
Pond5Fish11_TimeLeft,9.11
