,5dd12755381b671ab8552989
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,820
Pond3Fish8_TimeLeft,408.07
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.404
Pond3Fish9_PondTime,70.729
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,830
Pond3Fish9_TimeLeft,398.192
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.332
Pond3Fish10_PondTime,81.678
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,840
Pond3Fish10_TimeLeft,387.243
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.416
Pond3Fish11_PondTime,94.065
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,850
Pond3Fish11_TimeLeft,374.856
Type,RT
FishN,19
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,1.068
Pond3Fish12_PondTime,108.459
Pond3Fish12_PondOutcome,120
Pond3Fish12_TotalOutcome,860
Pond3Fish12_TimeLeft,360.462
Type,RT
FishN,19
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,12
Pond3Fish13_CatchTime,1.222
Pond3Fish13_PondTime,125.862
Pond3Fish13_PondOutcome,130
Pond3Fish13_TotalOutcome,870
Pond3Fish13_TimeLeft,343.059
PondEnd_LastFish,13
FishN,19
Type,RT
GiveUpTime,1.126
PondTime,126.382
TimeLeft,342.031
PondOutcome,130
TotalOutcome,870
PondStart,PondStart
PondIntroTime,14.708570125512779
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.873
Pond8Fish1_PondTime,9.322
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,882
Pond8Fish1_TimeLeft,317.374
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.104
Pond8Fish2_PondTime,17.168
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,894
Pond8Fish2_TimeLeft,309.528
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,1.249
Pond8Fish3_PondTime,25.585
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,906
Pond8Fish3_TimeLeft,301.111
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.078
Pond8Fish4_PondTime,34.67
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,918
Pond8Fish4_TimeLeft,292.026
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.075
Pond8Fish5_PondTime,44.589
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,930
Pond8Fish5_TimeLeft,282.107
Type,RD
